label,item,condition,red,green,blue,gr_ratio,pair,group
orange_ripe,orange,ripe,158.9354,133.632,111.1622,0.8407944306882267,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,113.3276,100.7171,75.6713,0.8887252453177756,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,199.4668,170.9322,154.0085,0.8569456127187801,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,91.5557,70.888,44.7008,0.7742609059374687,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,235.7757,183.2683,135.5762,0.7772993536768236,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,212.0043,181.6524,136.6362,0.8568335601832908,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,75.0898,68.794,59.1721,0.9161563765497261,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,116.6191,114.381,111.3611,0.9808084526393323,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,106.0034,110.554,92.2212,1.0429288018787246,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,187.696,149.5313,123.7936,0.7966674793460303,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,91.5759,85.1248,80.0865,0.9295545997412572,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,82.2398,75.4673,52.6467,0.9176493508295331,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,171.0955,145.4047,120.9303,0.8498452568896011,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,85.7044,80.5615,76.7721,0.939992568176283,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,190.693,160.6648,140.1004,0.8425311844560043,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,99.4393,83.202,46.4625,0.8367114326356738,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,143.7415,133.8032,113.7223,0.9308599052405888,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,223.1926,182.3917,147.8295,0.8171942043903149,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,107.0152,89.4646,59.6193,0.8359989904611776,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,145.7398,132.8437,116.1913,0.9115128406138006,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,142.4637,140.6163,128.2569,0.9870324792418527,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,170.4272,144.5656,124.1873,0.8482542642943481,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,138.6282,127.8283,91.6905,0.9220944878307986,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,126.1401,118.7716,92.27,0.9415847859516143,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,142.7786,130.6872,101.0639,0.9153136330282434,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,155.1541,129.9928,111.0882,0.8378302549669634,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,131.3691,127.4815,101.3961,0.9704070365831308,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,240.5155,162.5976,113.5732,0.6760379240587907,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,98.8293,73.5781,53.2756,0.7444968167891829,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,158.676,134.8561,114.3013,0.849883404863474,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,165.8626,140.926,117.3905,0.8496550708257614,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,164.7327,147.202,137.6497,0.8935809290227081,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,159.5356,142.3319,127.6656,0.8921638750713704,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,177.82,153.7188,130.2402,0.8644629351902883,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,112.5784,109.9596,86.3067,0.9767379801388367,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,113.0297,124.7567,122.214,1.103751482099382,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,120.7997,114.762,87.581,0.9500189077454753,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,159.0101,144.0468,130.0205,0.9058971668724366,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,168.2025,141.3573,130.9102,0.840399513441242,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,170.7453,143.136,117.1455,0.8383012543343726,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,153.3615,136.724,119.1146,0.891514487720096,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,119.5595,118.6457,96.8145,0.9923569353137398,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,83.186,88.5454,78.5654,1.064426693621202,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,154.0095,132.0591,109.9442,0.8574737217024033,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,91.4755,82.7045,75.2411,0.9041163928689497,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,137.0733,132.1359,121.5254,0.9639798490006454,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,184.2269,149.0089,151.2548,0.8088335590034161,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,101.6062,91.0853,66.6614,0.8964541445654484,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,131.016,130.2008,108.095,0.9937778516076063,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,155.2579,134.765,115.5432,0.8680073550652986,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,195.6693,169.6843,146.234,0.8671993978248025,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,157.3609,141.0664,124.2417,0.8964513999573502,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,88.3726,63.399,42.748,0.7174056130813666,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,139.9087,136.4624,111.3289,0.9753675005530928,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,155.8761,129.7672,110.1157,0.8325022191824005,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,157.3176,135.3033,122.2255,0.8600646026886719,Mango Ripe vs Orange Ripe,B
